x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
-0.0,1.0000000000000007,1.0000000000000009,1.0000000000000018,1.0000000000000029,1.000000000000004,1.0000000000000024,1.000000000000003,1.0000000000000036,1.000000000000002,1.0000000000000038,1.0000000000000044,1.0000000000000049,1.0000000000000036,1.0000000000000058,1.0000000000000056,1.000000000000004,1.0000000000000053,1.000000000000003,1.0000000000000038,1.0000000000000075,1.000000000000004,1.000000000000004,1.0000000000000062,1.0000000000000069
0.08,0.9269279002285582,0.9223221063178738,0.9213175799602874,0.9213175799602873,0.9213175799602874,0.9213175799602873,0.9213175799602872,0.9213175799602875,0.9213175799602873,0.9213175799602873,0.9213175799602876,0.9213175799602876,0.9213175799602865,0.9213175799602875,0.9213175799602876,0.9213175799602875,0.9213175799602873,0.921317579960286,0.9213175799602881,0.9213175799602853,0.9213175799602866,0.9213175799602871,0.9213175799602895,0.921317579960287
0.16,0.8538649706776176,0.8446533254011136,0.8426351683579496,0.8426351683579495,0.8426351683579495,0.8426351683579492,0.8426351683579492,0.8426351683579496,0.8426351683579497,0.8426351683579489,0.8426351683579502,0.8426351683579498,0.8426351683579479,0.8426351683579504,0.8426351683579499,0.8426351683579496,0.8426351683579497,0.8426351683579466,0.8426351683579508,0.8426351683579464,0.8426351683579483,0.8426351683579485,0.8426351683579537,0.8426351683579479
0.24000000000000002,0.780813890612945,0.766996547618156,0.763952767802347,0.7639527678023468,0.7639527678023469,0.7639527678023464,0.7639527678023466,0.7639527678023469,0.763952767802347,0.7639527678023456,0.763952767802348,0.7639527678023472,0.7639527678023448,0.7639527678023478,0.7639527678023481,0.7639527678023476,0.7639527678023468,0.7639527678023429,0.7639527678023486,0.7639527678023412,0.7879110791900301,0.8548741631543358,0.9251495123518721,0.9974742345138415
0.32,0.7077784948015005,0.6893560292391598,0.6852703821024748,0.6852703821024748,0.6852703821024749,0.685270382102474,0.6852703821024743,0.6852703821024747,0.6852703821024749,0.6852703821024732,0.6852703821024764,0.6852703821024753,0.6852703821024719,0.6852703821024758,0.7360787534810781,0.8213946886491427,0.9127519023138106,1.007926214362967,1.105705548366382,1.2053365395608813,1.3063243156476603,1.4083313239475717,1.5111202377464545,1.6145198554669467
0.39999999999999997,0.6347644710685019,0.6117383065681602,0.6065880170458942,0.6065880170458938,0.606588017045894,0.6065880170458932,0.6065880170458935,0.606588017045894,0.6065880170458944,0.6065880170458923,0.6434302548446285,0.739942107113676,0.8487599640568969,0.9649042988066879,1.085711319341471,1.2096230612835372,1.3356842610509012,1.463283622490056,1.5920146498503764,1.7215978139066468,1.8518352587143532,1.9825834210654503,2.1137358869307405,2.245212312055896
0.48000000000000004,0.5617806318791104,0.5341539566671631,0.5279056818751566,0.5279056818751562,0.5279056818751563,0.5279056818751553,0.5279056818751557,0.5285641383240435,0.6198543355690617,0.7383948567012388,0.8716706028634069,1.013526332682723,1.1606481440334007,1.311181755705617,1.4640306580453035,1.6185108091672302,1.7741752797471129,1.9307205878431082,2.087933992456788,2.2456623775567612,2.403793087501751,2.562241681340761,2.7209438557053276,2.8798499692264246
0.56,0.4888413976089606,0.45662128457951073,0.4492233923182155,0.44922339231821495,0.4492233923182151,0.44922339231821384,0.5230913359059773,0.6495115400911121,0.8000605140830568,0.963576293342365,1.1345100468951665,1.3100164974760204,1.488519056664801,1.669077321551729,1.8510957033759552,2.034178856501614,2.218054535113243,2.4025297326056014,2.5874643788991323,2.7727548539713633,2.9583232684492393,3.1441102780052983,3.3300701415538922,3.516167247940826
0.64,0.4159720892250871,0.37917493742187974,0.3705411774869967,0.3705411774869962,0.3863199007753678,0.4885670026072074,0.6409049258252291,0.8186048873580355,1.0092216955093825,1.2071644207336754,1.4096570164689968,1.6151591718552751,1.822739933538392,2.031800778973788,2.2419392727810954,2.452875656075467,2.6644104192347324,2.8763983847323886,3.0887321715627882,3.301331274339408,3.514134646414171,3.7270955459186883,3.9401778848728948,4.153353600449371
0.72,0.34322158426611754,0.3018892869742067,0.29185909796116566,0.3124279389627494,0.4195922182683634,0.5910832255112345,0.7919918484556318,1.0071536570991029,1.2303872352565,1.458685757804437,1.6903632113546734,1.9243831150956467,2.1600692828431165,2.3969624759419195,2.6347416914646864,2.8731776382867245,3.1121037276303802,3.3513972499433895,3.590966782175402,3.8307435567506007,4.070675427818559,4.310722583007762,4.550854452346993,4.791047452594478
0.7999999999999999,0.2706978031980894,0.22495761914726095,0.22745712271077384,0.31953791105165424,0.5017446990270037,0.7213721353947344,0.9581198577437663,1.2046251940799229,1.4573363826032752,1.714219403351862,1.9739984633845842,2.23583031949353,2.4991385622637075,2.7635197155349562,3.0286862287043204,3.2944302175540585,3.560599619086227,3.827082107874545,4.093794026380603,4.360672637923862,4.627670627262262,4.894752148167006,5.161889951519883,5.429063277995804
0.88,0.19869389806335064,0.14907979168229696,0.19841713031364175,0.3784344066854044,0.6105853132289563,0.8646991214025547,1.1315809470455231,1.4067200078363136,1.6874420779181774,1.972033928642069,2.2593525740516074,2.5486153939185208,2.839276224588321,3.1309481367797862,3.4233535836495257,3.716291383818525,4.009614409072578,4.30321425170616,4.597010535307919,4.890943367747112,5.184967951938594,5.479050698045432,5.773166392640043,6.067296119957947
0.9600000000000001,0.12835915402558593,0.07958739080128745,0.2320337740302899,0.4672434518576448,0.731919026220967,1.0145563763940884,1.3090129166301925,1.6114700520343277,1.9194402994575757,2.2312605162117167,2.5457972450309034,2.862265816689495,3.180115697433211,3.4989561140183807,3.818506879569068,4.138565340674537,4.458983831576226,4.77965409001152,5.100496354174225,5.421451650096542,5.74247628036141,6.063537849257984,6.384612371499247,6.7056821526268395
1.04,0.0696900443662828,0.08785511476423374,0.3063947621951859,0.5690421563128305,0.8594220585275735,1.1680137014581036,1.488797430545394,1.8178712826000873,2.1526563900225337,2.4914190079573113,2.8329756411272746,3.1765073192262516,3.5214404127631216,3.8673688223068847,4.2140023641111375,4.561132025530352,4.908606256651357,5.256314588962095,5.604176185372679,5.952131751811251,6.30013776741753,6.648162331801787,6.996182151484581,7.344180336530681
