x1,x2,x3,x4,x5,x6,x7,x8
9626.670208369615,9626.670208369615,9626.670208369615,9626.670208369615,9626.670208369615,9626.670208369615,9626.670208369615,9626.670208369615
9174.828887757252,8189.442787650162,7204.608363941003,6219.892015719517,5236.237417228405,4253.393671409623,3273.0613613675296,2297.659532885844
9305.99368133492,7498.085104269265,5894.776040342003,4497.37623027215,3307.32808386125,2329.128322863129,1569.5773514570546,1041.1609984012853
9566.395751982447,7014.2176529851395,4995.636068904481,3449.5656852842026,2314.626134719189,1530.162211509358,1033.6968724899584,756.1188371140721
9482.45612588788,6251.115596031452,3970.5109728653224,2438.988183490871,1483.6121258534226,954.2663294845099,706.8530597173442,603.8223529301594
9144.258309455254,5325.779539670293,2935.826571496983,1563.6149215299083,907.1535128703574,693.8504702703067,644.6736975296882,620.6413140769562
9493.566196646829,5190.738345749829,2809.0643041927988,1621.5031404960341,1105.930052630515,898.9147317977947,809.1964132718635,765.9173908037293
9653.025376873282,4871.714455151432,2492.6687081368627,1422.0168595885527,980.8530491849307,792.6786409823592,695.8820465046349,632.2513348259276
9640.821825478917,4452.337334787826,2172.401943958068,1300.772918669342,990.813517074705,857.75106678,781.0750113072613,728.5860959161752
9521.671939617383,3938.1305368625785,1730.2365492068213,975.153085525553,722.2693850158912,606.8686186301354,535.2652907550881,484.8781081131824
9583.346131305503,3699.6715703675623,1657.0444935876867,1050.4581424926746,847.9821114315002,747.0848463071472,682.5706787907491,637.4719053683879
9274.838990544604,3093.4276990938856,1210.570631712512,770.7899873898037,642.5277628365754,570.4238694381215,520.703541200385,485.4399240902701
9473.566553699387,3096.158812412271,1393.0429816123647,999.0274018793062,862.5287790178652,789.0547231146694,743.569614720964,715.0856038023815
9465.73232840966,2898.097486448284,1358.7802156895323,1017.7029781022412,878.8151412126826,790.6192143398022,725.3110553975557,673.2985001971529
9209.397603937647,2420.873290540744,1018.4003263722271,750.1066638024328,632.3295054921882,554.9810092535388,501.5010301632336,464.58277829603344
9345.930073071311,2447.379509811567,1182.7496798557465,927.2032601302406,814.9993897425262,746.6666837414077,702.1072035627235,673.2435251752354
9617.669523469678,2595.752984067265,1388.7104912914278,1118.2688894005128,995.6120860238171,917.3026675540111,860.3545728768428,815.7888603497963
9441.228023813237,2311.0501362026152,1242.1509551039053,989.8348841393915,850.8545266952947,752.6341530259472,678.6914406918181,621.9687910965959
9432.236204131943,2158.7317070729364,1138.2210089468736,885.4891783099399,743.4091343007286,644.3641830085123,571.5226156258868,516.8340907060172
9092.790725001152,1797.1665175352477,1003.5566021006667,816.0860475545408,702.8522070074075,626.7750904679519,573.5197176908879,534.8578056684753
