x1,x2,x3,x4,x5,x6,x7,x8
9626.254529909047,9626.254529909047,9626.254529909047,9626.254529909047,9626.254529909047,9626.254529909047,9626.254529909047,9626.254529909047
9174.995516694156,8467.365548108586,7784.020127571783,7131.5673280628835,6519.6238861396905,5960.785333846876,5470.811155711117,5070.60244394009
9305.688792296716,7918.402288069541,6620.581312941495,5460.4916692662055,4384.896233228852,3689.569654673746,3209.0078521923942,3214.9609049964515
9566.341647137197,7496.729581392397,5614.893917426265,3943.502386540019,2688.7219967991214,2096.529934676337,2528.0820636370136,3489.7555142900605
9482.109791266303,6766.275207352523,4373.641106120672,2426.8959503750307,1806.0706095263713,2786.3287204857356,3218.854487051891,3258.56929122387
9143.876200774772,5811.810442995339,3052.38547378199,1723.5389902338702,2321.1818012970034,2551.4335451037796,3171.172689715493,4132.268492192905
9493.272357036214,5559.50849739582,2305.539186611964,1528.957011470746,2066.0187316579195,2638.551934118601,3169.26955117813,3175.6178496214634
9652.956949890853,5064.586855280837,1595.7994316188463,1470.6464392093717,1811.1880513452406,2045.2404277503297,2461.748037746221,3289.4636949453443
9641.486638641221,4478.202381224455,1100.0154526808865,1380.8143953895706,2193.1676805045377,2524.718763365704,3065.926364071988,3280.288453749966
9521.70162192223,3820.243027166068,992.6672825942817,1400.5920277566931,1702.3041847867453,2118.3136615848816,2505.1628888858822,3216.455164922233
9583.210724746254,3321.924541180658,869.3547497924811,1529.150889392194,1956.9951893683813,2338.971103135675,3033.022443384796,3225.117141070241
9274.721181542636,2536.02166462439,1169.716573343083,1416.914753421591,2101.944539658174,2474.3516007675335,3023.1079044363764,3877.8101619303966
9473.298046906875,2288.5631520961306,1073.4928782187724,1325.8977230864411,2005.7121564289594,2376.927012537013,3274.5520998210413,3470.7674266492304
9465.685331195591,1778.5767449301984,960.9950576464732,1217.4915012438348,1829.8065797484865,2111.870378971867,2552.276845400461,3392.33473682736
9209.342687456123,1152.6427495943576,1140.976931122486,1792.0564521072383,2162.8624426451256,2804.5004596036288,3281.7165109564876,3528.423124390171
9345.81814324997,1063.264199250018,1124.3154395875756,1385.0452688523176,1815.4029982526617,2183.100677110212,2718.7275533383427,3383.3116708090697
9617.288006987808,775.004193775319,816.4758109215469,1535.3026676417153,1637.3817571725895,2380.848708415983,2943.874956105642,3075.5464904378623
9441.358695229637,695.9249699882522,1197.0798742872157,1559.7678869310148,2226.7396008027445,2521.4877890469947,3090.5746395494007,3978.8516389558317
9432.002762153345,597.9887236720539,988.1819698445631,1377.5839788347785,1718.6974260262682,2412.5074104344103,2964.6875519397818,3137.742924533897
9092.831069756458,590.6880035853097,1044.5162781970216,1371.0901518347314,1893.8277144502374,2170.46439719725,2618.977972918691,3345.76778710495
