x1,x2,x3,x4,x5,x6,x7,x8
9626.670208369615,9626.670208369615,9626.670208369615,9626.670208369615,9626.670208369615,9626.670208369615,9626.670208369615,9626.670208369615
9174.828887757252,8173.782887805322,7172.82314079738,6172.442223675085,5173.233124786281,4175.60202423635,3181.053845402602,2194.1308999961348
9305.99368133492,7454.135875269531,5812.617191178399,4381.197900482224,3161.148384041946,2155.7314544138203,1371.614808703593,826.2326754982896
9566.395751982447,6939.593631419406,4865.284296586568,3279.549865746371,2119.2629999970304,1322.6797718527187,830.4822354543633,578.7295248838983
9482.45612588788,6134.0025180653365,3772.077495653546,2182.224635091106,1180.5996510344617,620.4887302477584,389.8059982389527,352.00960509703737
9144.258309455254,5158.779464158173,2656.79078271044,1191.9646287626551,469.50254457332403,364.1881585580311,456.30444171656956,511.1540745667813
9493.566196646829,4974.638222526788,2465.05751066861,1199.763175134689,666.8587117315312,508.40045324248797,486.5721751619425,505.8870290046068
9653.025376873282,4617.336513749468,2118.7192371035935,1011.6201514920982,613.6899075222846,515.9378965447786,511.87088473050164,534.78957430869
9640.821825478917,4131.095483153651,1689.6195190147373,749.2573946727472,473.24306695887753,412.70464660016137,400.2386315228337,401.5288259222882
9521.671939617383,3581.8941581455606,1235.00034403057,497.7449868721029,407.75013371316163,433.1551393488938,460.9859023371421,486.9142649317798
9583.346131305503,3273.213081062541,1051.703987423377,434.3964157090953,335.68846285667746,318.43697656561255,307.8691085191397,304.131661441184
9274.838990544604,2630.8706735686264,591.5324599363671,362.2938989918947,432.48063859175056,454.36574915667717,462.31389037333577,469.57084634765783
9473.566553699387,2573.150853041383,745.3753438380775,494.1559581907886,490.1519045327873,501.9648644576883,518.409120429442,535.975626302485
9465.73232840966,2290.9532381959534,572.4760523798052,362.06176456161967,364.2957507096592,379.21125142722894,395.33289206383256,407.9731153058754
9209.397603937647,1815.7940075653455,429.6532130337658,476.9466975580417,506.0054135740691,516.359507778064,524.9787421007934,535.144520026784
9345.930073071311,1777.3466592835275,527.2528704440562,515.9736348920655,545.3347447097536,570.9236515849585,596.3477739494958,623.1326846623208
9617.669523469678,1854.3293591929946,584.038183223369,471.5135928317357,483.1386320328536,509.10049652198114,538.4696613630658,566.2600052177454
9441.228023813237,1489.1207790204855,386.81050198074627,346.6764522930592,343.74233960137605,345.3451029551357,359.0923998607377,389.37683154582624
9432.236204131943,1330.322699950415,354.9932900114896,340.0378082689681,348.9348936500206,358.1789694603381,370.140543423131,388.0364509746315
9092.790725001152,863.8965699352099,369.97458448048064,450.9501214561234,465.127231247431,474.13501125336643,483.255701647785,491.67707957008724
