x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
-0.0,0.9919117539075224,0.9919117539075226,0.9919117539075234,0.9919117539075222,0.9919117539075226,0.9919117539075245,0.9919117539075255,0.9919117539075238,0.9919117539075237,0.991911753907526,0.9919117539075252,0.9919117539075262,0.9919117539075267
0.08,0.918866979305404,0.9205296458609569,0.9205209710892669,0.9204998793462883,0.9204833019356693,0.9205291135741369,0.9205318633330452,0.9205222193690855,0.9205321767775773,0.9205322187746613,0.9205319271984816,0.92053125548855,0.9205258239846335
0.16,0.8454837524315136,0.8484375000403427,0.8484163096945212,0.8483707188704797,0.8483365257331515,0.8484360445257405,0.8484484920859007,0.848438769910888,0.8484462279065007,0.8484478126910434,0.848444877260019,0.8484485385369057,0.8484433884793269
0.24000000000000002,0.771747896559183,0.7756804222481065,0.7756440560165713,0.7755718148768197,0.7755195063075585,0.7756777671517632,0.775704933247064,0.7757022718991464,0.7756979783719479,0.7757021994478063,0.7757018020422299,0.7757065644062082,0.775705953463261
0.32,0.6976319039213394,0.7022608083405749,0.702207331105826,0.7021071193281678,0.7020365899688242,0.7022567461749323,0.7023025231740808,0.7023127020558018,0.7022963544742584,0.7023102152499493,0.7023124575526013,0.7023064803675142,0.7023138493245563
0.39999999999999997,0.623090053905273,0.6281400519226981,0.6280680399949495,0.628030732566007,0.6278724349548214,0.6281344212654096,0.6282019978031629,0.6282300580703752,0.628223027971467,0.6282303338233504,0.6282301836400511,0.6282089135222759,0.6282272566144819
0.48000000000000004,0.5480480669946941,0.5532247798336655,0.5532088139771366,0.5532088139771385,0.5530582483807674,0.5532174544417403,0.5533557124408693,0.553360311856561,0.5533671108475092,0.5533644683011397,0.5533609490415777,0.5533394813667156,0.5533627952222064
0.56,0.47237955892302963,0.4773205777655719,0.4774383967374987,0.477438396737501,0.4773113654450053,0.47740259086453063,0.47753844093400016,0.4775092852699688,0.4775351450290954,0.47751860065419044,0.4775383874595472,0.477532034359193,0.47753879900595086
0.64,0.3958405661132268,0.39995744250962434,0.40027545776223433,0.400275457762236,0.40019965942885977,0.40025607096266175,0.40028958912906076,0.40025101492412707,0.40029563089079384,0.4003030042590714,0.40030212276016763,0.4002996159975603,0.4002886796963604
0.72,0.31778524854079476,0.3186083090151833,0.3195715992541886,0.31979741132735384,0.3199279356659851,0.3199135725321748,0.3199276428876933,0.3199270999116764,0.31990497945099394,0.319919758773343,0.3199049898435265,0.3198551894493919,0.3199195572712611
0.7999999999999999,0.23584925776753893,0.24107162244187175,0.24149787678339105,0.2414978767833938,0.24138408799368052,0.24146809689060672,0.24153188312207063,0.24146043960902555,0.24153036855355575,0.2415446210115892,0.24154234192716229,0.2415433666266025,0.24151884372206234
0.88,0.1605617270380637,0.16556315743823488,0.16606704349268603,0.16606704349268975,0.16596909209899063,0.166042448319646,0.1660717915556516,0.16603595185301628,0.16609132114694075,0.16609780644059943,0.1660976292522264,0.16608919665312669,0.16608326309902852
0.9600000000000001,0.08209245763055177,0.0860223710217372,0.08669596826123128,0.08669596826123295,0.08664740356240994,0.08668695608547054,0.08665525775328861,0.08668402527540961,0.08669668168190076,0.08668212212796172,0.08668752278519089,0.08667568116279051,0.08669840302641198
1.04,0.03931869366481471,0.03931869366481611,0.03931869366481572,0.03931869366481624,0.039318693664816,0.03931869366481605,0.03931869366481609,0.03931869366481614,0.03931869366481658,0.0393186936648167,0.03931869366481611,0.03931869366481626,0.03931869366481651
1.12,0.11891590167723809,0.11891590167724019,0.11891590167723957,0.1189159016772405,0.11891590167724041,0.11891590167724035,0.11891590167723987,0.11891590167724062,0.11891590167724066,0.11891590167724207,0.11891590167724134,0.11891590167724105,0.11891590167724171
1.2,0.1983152546218427,0.1983152546218439,0.19831525462184393,0.19831525462184424,0.19831525462184496,0.19831525462184743,0.19831525462184466,0.19831525462184466,0.19831525462184602,0.19831525462184582,0.19831525462184452,0.1983152546218453,0.1983152546218487
1.28,0.27768857804279373,0.27768857804279623,0.27768857804279556,0.27768857804279856,0.2776885780427957,0.2776885780427951,0.2776885780427949,0.2776885780427972,0.2776885780427977,0.2776885780427952,0.27768857804279673,0.27768857804279595,0.27768857804279373
1.36,0.35705327107489343,0.3570532710748967,0.35705327107489665,0.35705327107489876,0.35705327107489837,0.3570532710748986,0.3570532710748973,0.35705327107489887,0.35705327107489876,0.357053271074896,0.3570532710748965,0.3570532710748929,0.3570532710748985
1.44,0.4364140446879027,0.4364140446879075,0.4364140446879051,0.43641404468790856,0.43641404468790645,0.4364140446879051,0.4364140446879048,0.436414044687907,0.4364140446879128,0.4364140446879064,0.4364140446879075,0.4364140446879087,0.43641404468790856
1.52,0.5157727078841412,0.515772707884145,0.5157727078841445,0.5157727078841444,0.5157727078841492,0.5157727078841429,0.5157727078841419,0.5157727078841439,0.5157727078841483,0.515772707884146,0.5157727078841441,0.5157727078841421,0.5157727078841425
1.5999999999999999,0.595130104574442,0.5951301045744477,0.5951301045744448,0.5951301045744417,0.5951301045744473,0.5951301045744447,0.5951301045744452,0.5951301045744423,0.5951301045744473,0.5951301045744432,0.5951301045744436,0.595130104574447,0.59513010457445
1.68,0.6744866815544424,0.6744866815544457,0.6744866815544452,0.6744866815544458,0.6744866815544455,0.6744866815544457,0.674486681554445,0.6744866815544464,0.6744866815544428,0.674486681554447,0.674486681554447,0.6744866815544488,0.6744866815544518
