x1,x2,x3,x4,x5,x6,x7,x8
9626.463700960956,9626.463700960956,9626.463700960956,9626.463700960956,9626.463700960956,9626.463700960956,9626.463700960956,9626.463700960956
9175.118413913642,8774.726481018457,8374.094839422105,7973.64398403081,7573.633075624641,7173.193773986826,6773.150869626451,6373.261498700879
9306.115056874587,8540.188692778942,7807.957496748941,7109.252557214529,6444.180393825713,5812.57256686387,5214.653990680225,4650.297691293687
9566.484359711985,8445.091160767795,7418.602674552791,6482.333456269324,5632.903085970103,4865.182363598706,4175.829946382332,3560.5309360650067
9482.582235510361,8009.548004882106,6717.573670955806,5589.902517509608,4612.546185678348,3771.8486519064813,3054.206650892906,2447.1374964494767
9144.430676982243,7338.2458121314785,5820.835630334748,4555.881626717854,3510.963494265087,2656.791652709288,1967.0994694064561,1419.6676947489018
9493.766772011782,7382.769548438075,5687.251439022683,4339.902406662536,3281.9447430329565,2463.0688696325756,1840.3089633555594,1377.0346945960812
9652.982633574871,7234.78444222473,5373.907018264923,3958.8805934226552,2898.2993193271896,2117.069150984344,1552.9890331483368,1156.8644242784892
9641.678551193207,6924.032159819484,4919.40399499612,3462.21360334532,2420.209043793602,1690.7710926245722,1193.9719205033866,868.5744803237621
9521.493170984042,6515.34644889437,4389.268611149822,2910.5206345965366,1902.0736236287548,1233.1473271316736,809.7914787340876,565.447263874174
9582.993761658452,6306.139646779751,4086.8711038716906,2611.9822360198805,1653.769248407188,1050.512909864772,689.5664574939793,491.50603212680414
9274.792195533319,5736.4175428855315,3442.7216321298574,1989.224255987769,1099.238979679485,596.6459886993262,383.079279719623,360.16869786621567
9473.359516871444,5699.762294357557,3365.1829641879785,1962.5075199582143,1158.6783612403806,739.4174709824566,556.7491518789318,494.62895002324655
9465.529426268062,5452.402164184213,3071.5373738724597,1699.6252185516107,943.6742567158308,562.9130192682114,404.21820368852593,354.9141065695133
9209.772752127294,4972.664472507282,2571.8299275208315,1266.559085818223,629.9013381895286,428.4447015728431,431.28838835614806,463.60579145715184
9345.710482356244,4903.343839742041,2500.8691371061586,1264.4715355399453,700.8135941284951,516.2529104231946,488.43761690198164,497.1026287933296
9617.258330505188,4969.7669463716065,2560.1012776030016,1364.3885640130818,813.2298493603662,587.534782496881,506.483275406198,481.3396448268195
9441.252884533927,4585.812270436908,2170.847247193596,1026.4824662894546,540.4680981735553,383.76870538160756,351.034569588512,346.8631495573942
9432.287206660129,4385.688967155244,1982.6814872595191,897.5366741217455,468.4173797698853,349.5286672245679,332.6477989031568,335.18257881010226
9092.63852008638,3863.4782939939223,1481.2744631099604,481.92155563725476,283.1236781883413,369.48121185148693,422.7560409944592,446.270947340737
